Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,2015,Developing,65.0,263.0,62,0.01,71.27962362,65.0,1154,0.191,83,6.0,8.16,65.0,0.1,58.42592100000001,33.736494,17.2,17.3,0.479,10.1
Afghanistan,2014,Developing,59.9,271.0,64,0.01,73.52358168,62.0,492,0.186,86,58.0,8.18,62.0,0.1,61.2696514,32.7582,17.5,17.5,0.476,10.0
Afghanistan,2013,Developing,59.9,268.0,66,0.01,73.21924272,64.0,430,0.181,89,62.0,8.13,64.0,0.1,63.1744976,31.731688,17.7,17.7,0.47,9.9
Afghanistan,2012,Developing,59.5,272.0,69,0.01,78.1842153,67.0,2787,0.176,93,67.0,8.52,67.0,0.1,66.99589999999999,36.96958,17.9,18.0,0.463,9.8
Afghanistan,2011,Developing,59.2,275.0,71,0.01,7.097108703,68.0,3013,0.172,97,68.0,7.87,68.0,0.1,63.537231,29.78599,18.2,18.2,0.454,9.5
Afghanistan,2010,Developing,58.8,279.0,74,0.01,79.67936736,66.0,1989,0.167,102,66.0,9.2,66.0,0.1,55.332894,28.831670000000003,18.4,18.4,0.448,9.2
Afghanistan,2009,Developing,58.6,281.0,77,0.01,56.76221682,63.0,2861,0.162,106,63.0,9.42,63.0,0.1,44.58932979,28.4331,18.6,18.7,0.434,8.9
Afghanistan,2008,Developing,58.1,287.0,80,0.03,25.87392536,64.0,1599,0.157,110,64.0,8.33,64.0,0.1,37.33611163,27.294310000000003,18.8,18.9,0.433,8.7
Afghanistan,2007,Developing,57.5,295.0,82,0.02,10.91015598,63.0,1141,0.152,113,63.0,6.73,63.0,0.1,36.983579600000006,26.616792,19.0,19.1,0.415,8.4
Afghanistan,2006,Developing,57.3,295.0,84,0.03,17.17151751,64.0,1990,0.147,116,58.0,7.43,58.0,0.1,27.256377,25.89345,19.2,19.3,0.405,8.1
Afghanistan,2005,Developing,57.3,291.0,85,0.02,1.388647732,66.0,1296,0.142,118,58.0,8.7,58.0,0.1,25.2941299,25.7798,19.3,19.5,0.396,7.9
Afghanistan,2004,Developing,57.0,293.0,87,0.02,15.29606643,67.0,466,0.138,120,5.0,8.79,5.0,0.1,21.91413528,24.118979,19.5,19.7,0.381,6.8
Afghanistan,2003,Developing,56.7,295.0,87,0.01,11.08905273,65.0,798,0.134,122,41.0,8.82,41.0,0.1,19.87285436,23.64851,19.7,19.9,0.373,6.5
Afghanistan,2002,Developing,56.2,3.0,88,0.01,16.88735091,64.0,2486,0.13,122,36.0,7.76,36.0,0.1,18.784595,21.979923,19.9,2.2,0.341,6.2
Afghanistan,2001,Developing,55.3,316.0,88,0.01,10.5747282,63.0,8762,0.126,122,35.0,7.8,33.0,0.1,11.749698,29.66463,2.1,2.4,0.34,5.9
Afghanistan,2000,Developing,54.8,321.0,88,0.01,10.42496,62.0,6532,0.122,122,24.0,8.2,24.0,0.1,11.456,29.3756,2.3,2.5,0.338,5.5
Albania,2015,Developing,77.8,74.0,0,4.6,364.9752287,99.0,0,0.58,0,99.0,6.0,99.0,0.1,39.5422783,28.873,1.2,1.3,0.762,14.2
Albania,2014,Developing,77.5,8.0,0,4.51,428.7490668,98.0,0,0.5720000000000001,1,98.0,5.88,98.0,0.1,45.75763787,28.8914,1.2,1.3,0.761,14.2
Albania,2013,Developing,77.2,84.0,0,4.76,430.8769785,99.0,0,0.5650000000000001,1,99.0,5.66,99.0,0.1,44.1472314,28.959200000000003,1.3,1.4,0.759,14.2
Albania,2012,Developing,76.9,86.0,0,5.14,412.4433563,99.0,9,0.5579999999999999,1,99.0,5.59,99.0,0.1,42.4761438,29.41,1.3,1.4,0.752,14.2
Albania,2011,Developing,76.6,88.0,0,5.37,437.0621,99.0,28,0.551,1,99.0,5.71,99.0,0.1,44.3717868,29.5195,1.4,1.5,0.738,13.3
Albania,2010,Developing,76.2,91.0,1,5.28,41.82275719,99.0,10,0.543,1,99.0,5.34,99.0,0.1,49.435883200000006,29.1321,1.4,1.5,0.725,12.5
Albania,2009,Developing,76.1,91.0,1,5.79,348.0559517,98.0,0,0.535,1,98.0,5.79,98.0,0.1,41.14136545,29.27519,1.5,1.6,0.721,12.2
Albania,2008,Developing,75.3,1.0,1,5.61,36.62206845,99.0,0,0.526,1,99.0,5.87,99.0,0.1,43.7539647,29.47314,1.6,1.6,0.713,12.0
Albania,2007,Developing,75.9,9.0,1,5.58,32.24655228,98.0,22,0.517,1,99.0,6.1,98.0,0.1,36.313685,29.717,1.6,1.7,0.703,11.6
Albania,2006,Developing,74.2,99.0,1,5.31,3.3021542,98.0,68,0.58,1,97.0,5.86,97.0,0.1,35.1293,29.92547,1.7,1.8,0.696,11.4
Albania,2005,Developing,73.5,15.0,1,5.16,26.99312143,98.0,6,0.499,1,97.0,6.12,98.0,0.1,27.9142931,31.1487,1.8,1.8,0.685,10.8
Albania,2004,Developing,73.0,17.0,1,4.54,221.8428,99.0,7,0.489,1,98.0,6.38,97.0,0.1,24.165882350000004,32.6939,1.8,1.9,0.681,10.9
Albania,2003,Developing,72.8,18.0,1,4.29,14.71928882,97.0,8,0.479,1,97.0,6.27,97.0,0.1,18.9681557,33.961600000000004,1.9,2.0,0.674,10.7
